
year,decimal_date_x,co2_avg,decimal_date_y,ch4_avg,temp_raw
1983,1983.5,343.1525,1983.75,1636.5733333333335,0.31
1984,1984.5,344.86833333333334,1984.5,1645.0133333333333,0.16
1985,1985.5,346.3516666666667,1985.5,1657.3691666666666,0.12
1986,1986.5,347.6075,1986.5,1670.2108333333333,0.18
1987,1987.5,349.31166666666667,1987.5,1682.8066666666666,0.32
1988,1988.5,351.69,1988.5,1693.37,0.39
1989,1989.5,353.205,1989.5,1704.6241666666665,0.27
1990,1990.5,354.45250000000004,1990.5,1714.53,0.45
1991,1991.5,355.70416666666665,1991.5,1724.9425,0.4
1992,1992.5,356.54583333333335,1992.5,1735.4616666666668,0.22
1993,1993.5,357.215,1993.5,1736.5408333333335,0.23
1994,1994.5,358.9591666666667,1994.5,1742.1408333333331,0.31
1995,1995.5,360.9683333333333,1995.5,1748.8983333333333,0.44
1996,1996.5,362.74333333333334,1996.5,1751.3266666666666,0.33
1997,1997.5,363.8766666666666,1997.5,1754.5600000000002,0.46
1998,1998.5,366.84,1998.5,1765.6541666666665,0.61
1999,1999.5,368.53999999999996,1999.5,1772.3474999999999,0.38
2000,2000.5,369.7075,2000.5,1773.2075000000002,0.39
2001,2001.5,371.31916666666666,2001.5,1771.3241666666665,0.53
2002,2002.5,373.45250000000004,2002.5,1772.7016666666666,0.63
2003,2003.5,375.98333333333335,2003.5,1777.3533333333332,0.61
2004,2004.5,377.6983333333333,2004.5,1777.0225,0.53
2005,2005.5,379.98333333333335,2005.5,1774.2924999999998,0.68
2006,2006.5,382.09083333333336,2006.5,1774.9991666666667,0.64
2007,2007.5,384.02500000000003,2007.5,1781.4575000000002,0.66
2008,2008.5,385.8325,2008.5,1787.0966666666666,0.54
2009,2009.5,387.6425,2009.5,1793.569166666667,0.65
2010,2010.5,390.1016666666667,2010.5,1798.9399999999998,0.72
2011,2011.5,391.85083333333336,2011.5,1803.1499999999999,0.61
2012,2012.5,394.05583333333334,2012.5,1808.1925,0.65
2013,2013.5,396.7375,2013.5,1813.4808333333333,0.68
2014,2014.5,398.8125,2014.5,1822.6674999999998,0.75
2015,2015.5,401.0125,2015.5,1834.3691666666666,0.9
2016,2016.5,404.41249999999997,2016.5,1843.1833333333334,1.01
2017,2017.5,406.7583333333334,2017.5,1849.6383333333333,0.92
2018,2018.5,408.715,2018.5,1857.4491666666665,0.85
2019,2019.5,411.64916666666664,2019.5,1866.625,0.98
2020,2020.5,414.21333333333337,2020.5,1878.8866666666665,1.01
2021,2021.5,416.4141666666667,2021.5,1894.9366666666667,0.85
2022,2022.5,418.52833333333336,2022.5,1911.0516666666665,0.89
2023,2023.5,421.0758333333333,2023.5,1921.6658333333335,1.17
2024,2024.5,424.6041666666667,2024.5,1929.8999999999999,1.29
